"Framework Acronym","Framework Version","Framework Level Category","Framework Level Value","Control Display","CCIs"
"CMMC","2.0","Level 1",""," AC.L1-3.1.1","CCI-000002, CCI-000003, CCI-000005, CCI-000006, CCI-001545, CCI-001546, CCI-002107, CCI-002108, CCI-003601, CCI-003602, CCI-003603, CCI-003604, CCI-003605, CCI-003606, CCI-003607, CCI-003608, CCI-003609, CCI-003610, CCI-003611"
"CMMC","2.0","Level 1",""," AC.L1-3.1.2","CCI-000010, CCI-000011, CCI-000012, CCI-001547, CCI-002112, CCI-002115, CCI-002116, CCI-002117, CCI-002118, CCI-002119, CCI-002120, CCI-002121, CCI-002122, CCI-002123, CCI-002124, CCI-002125, CCI-002126, CCI-002127, CCI-002128, CCI-002129, CCI-003612, CCI-003613, CCI-003614, CCI-003615, CCI-003616, CCI-003617, CCI-003618, CCI-003619, CCI-003620, CCI-003621, CCI-003622, CCI-003623, CCI-003624, CCI-003625, CCI-003626"
